Date,Forecast,Lower_CI_95,Upper_CI_95,CI_Width
2024-12-31 01:00:00,4310.837179824373,2455.2064454517467,6166.467914197,3711.2614687452533
2024-12-31 02:00:00,4130.980558822503,2128.968357595493,6132.992760049512,4004.024402454019
2024-12-31 03:00:00,3958.134263266218,1756.370960811389,6159.897565721047,4403.526604909657
2024-12-31 04:00:00,3855.268961329166,1548.1470794854094,6162.390843172922,4614.243763687513
2024-12-31 05:00:00,3837.456610320908,1512.227722984539,6162.685497657278,4650.457774672739
2024-12-31 06:00:00,3882.5378897622622,1556.167640235622,6208.908139288902,4652.74049905328
2024-12-31 07:00:00,3952.1928112672185,1609.725179857488,6294.660442676949,4684.935262819461
2024-12-31 08:00:00,4011.9140369693355,1651.1512204714463,6372.676853467225,4721.525632995778
2024-12-31 09:00:00,4042.722779331999,1674.693489291889,6410.752069372109,4736.05858008022
2024-12-31 10:00:00,4043.0267456925653,1674.7477519415193,6411.305739443611,4736.557987502092
2024-12-31 11:00:00,4023.2848586845253,1653.3731245793833,6393.196592789667,4739.823468210284
2024-12-31 12:00:00,3997.947291948375,1623.586376651434,6372.308207245316,4748.721830593882
2024-12-31 13:00:00,3978.6416105444014,1600.2640414734842,6357.0191796153185,4756.755138141834
2024-12-31 14:00:00,3970.7500485308897,1590.6213797255473,6350.8787173362325,4760.257337610685
2024-12-31 15:00:00,3973.5113402305087,1593.112042000063,6353.910638460955,4760.798596460892
2024-12-31 16:00:00,3982.405365373117,1602.0023493697945,6362.80838137644,4760.806032006645
2024-12-31 17:00:00,3992.1416420558,1611.6618800084107,6372.621404103189,4760.959524094778
2024-12-31 18:00:00,3998.9181244146152,1618.4090600148925,6379.427188814338,4761.018128799446
2024-12-31 19:00:00,4001.347320520721,1620.826875424872,6381.86776561657,4761.040890191698
2024-12-31 20:00:00,4000.155353663441,1619.4805089421384,6380.830198384743,4761.349689442604
2024-12-31 21:00:00,3997.1864252942687,1616.1790516248052,6378.193798963732,4762.014747338926
2024-12-31 22:00:00,3994.3253812752855,1612.9293063645296,6375.721456186042,4762.792149821513
2024-12-31 23:00:00,3992.7727941854087,1611.0604356703411,6374.485152700476,4763.424717030135
2025-01-01 00:00:00,3992.82567718873,1610.9078705571678,6374.743483820292,4763.835613263123
2025-01-01 01:00:00,3994.0739245192262,1612.0310935544267,6376.116755484026,4764.085661929599
2025-01-01 02:00:00,3995.796439116979,1613.6650012869723,6377.927876946986,4764.262875660013
2025-01-01 03:00:00,3997.339336223278,1615.122869832056,6379.555802614501,4764.432932782445
2025-01-01 04:00:00,3998.339668495738,1616.0204317411021,6380.658905250373,4764.638473509271
